Approved Symbol	Approved Name	Previous Symbols	Synonyms	Entrez Gene ID	UniProt ID(supplied by UniProt)
ABCC8	ATP binding cassette subfamily C member 8	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	6833	Q09428
ABCC9	ATP binding cassette subfamily C member 9		SUR2, CMD1O	10060	O60706
ABCC10	ATP binding cassette subfamily C member 10		EST182763, MRP7, SIMRP7	89845	Q5T3U5
ABCC11	ATP binding cassette subfamily C member 11		MRP8	85320	Q96J66
ABCC12	ATP binding cassette subfamily C member 12		MRP9	94160	Q96J65
ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)		PRED6, C21orf73, ABCC13P	150000	Q9NSE7
ABCD1	ATP binding cassette subfamily D member 1	ALD	AMN, ALDP, adrenoleukodystrophy	215	P33897
ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1			23785	
ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2		bA453N3.6	26983	
ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3			26982	
ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4			26957	
ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5			642762	
ABCD2	ATP binding cassette subfamily D member 2	ALDL1	ALDR, ALDRP	225	Q9UBJ2
ABCD3	ATP binding cassette subfamily D member 3	PXMP1	PMP70, ZWS2	5825	P28288
ABCD4	ATP binding cassette subfamily D member 4	PXMP1L	PMP69, P70R, EST352188	5826	O14678
ABCE1	ATP binding cassette subfamily E member 1	RNASEL1, RNASELI, RNS4I	RLI, OABP, RLI1	6059	P61221
ABCF1	ATP binding cassette subfamily F member 1	ABC50	EST123147	23	Q8NE71
ABCF2	ATP binding cassette subfamily F member 2		EST133090, ABC28, M-ABC1, HUSSY-18	10061	Q9UG63
ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1			344653	
ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2			100422059	
ABCF3	ATP binding cassette subfamily F member 3		EST201864	55324	Q9NUQ8
ABCG1	ATP binding cassette subfamily G member 1		ABC8	9619	P45844
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)		EST157481, MXR, BCRP, ABCP, CD338	9429	Q9UNQ0
ABCG4	ATP binding cassette subfamily G member 4		WHITE2	64137	Q9H172
ABCG5	ATP binding cassette subfamily G member 5		STSL	64240	Q9H222
ABCG8	ATP binding cassette subfamily G member 8		GBD4	64241	Q9H221
ABHD1	abhydrolase domain containing 1		LABH1, FLJ36128	84696	Q96SE0
ABHD2	abhydrolase domain containing 2		LABH2	11057	P08910
ABHD3	abhydrolase domain containing 3		LABH3	171586	Q8WU67
ABHD4	abhydrolase domain containing 4		FLJ12816	63874	Q8TB40
ABHD5	abhydrolase domain containing 5		CGI-58, NCIE2	51099	Q8WTS1
ABHD6	abhydrolase domain containing 6			57406	Q9BV23
ABHD8	abhydrolase domain containing 8		FLJ11743, MGC14280, MGC2512	79575	Q96I13
ABHD10	abhydrolase domain containing 10		FLJ11342	55347	Q9NUJ1
ABHD11	abhydrolase domain containing 11	WBSCR21	PP1226	83451	Q8NFV4
ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	WBSCR26, LINC00035	NCRNA00035	171022	
ABHD12	abhydrolase domain containing 12	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	26090	Q8N2K0
ABHD12B	abhydrolase domain containing 12B	C14orf29	BEM46L3	145447	Q7Z5M8
ABHD13	abhydrolase domain containing 13	C13orf6	bA153I24.2, FLJ14906, BEM46L1	84945	Q7L211
ABHD14A	abhydrolase domain containing 14A		DKFZP564O243, DORZ1	25864	Q9BUJ0
ABHD14A-ACY1	ABHD14A-ACY1 readthrough			100526760	
ABHD14B	abhydrolase domain containing 14B		MGC15429, CIB	84836	Q96IU4
ABHD15	abhydrolase domain containing 15			116236	Q6UXT9
ABHD15-AS1	ABHD15 antisense RNA 1		linc-TP53I13, lnc-TP53I13		
ABHD16A	abhydrolase domain containing 16A	BAT5	NG26, D6S82E	7920	O95870
ABHD16B	abhydrolase domain containing 16B	C20orf135	dJ591C20.1	140701	Q9H3Z7
ABHD17A	abhydrolase domain containing 17A	C19orf27, FAM108A1	MGC5244	81926	Q96GS6
ABHD17AP1	abhydrolase domain containing 17A pseudogene 1	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47	728917	
ABHD17AP3	abhydrolase domain containing 17A pseudogene 3	FAM108A4, FAM108A4P		648359	
ABHD17AP4	abhydrolase domain containing 17A pseudogene P4	FAM108A5, FAM108A5P		729495	
ABHD17AP5	abhydrolase domain containing 17A pseudogene 5	FAM108A6, FAM108A6P		91219	
ABHD17AP6	abhydrolase domain containing 17A pseudogene 6	FAM108A7P		644988	
ABHD17AP7	abhydrolase domain containing 17A pseudogene 7	FAM108A8P		100133212	
ABHD17AP8	abhydrolase domain containing 17A pseudogene 8	FAM108A9P		647144	
ABHD17AP9	abhydrolase domain containing 17A pseudogene 9	FAM108A10P		100132251	
ABHD17B	abhydrolase domain containing 17B	C9orf77, FAM108B1	CGI-67	51104	Q5VST6
ABHD17C	abhydrolase domain containing 17C	FAM108C1		58489	Q6PCB6
ABHD18	abhydrolase domain containing 18	C4orf29	FLJ21106	80167	Q0P651
ABI1	abl interactor 1	SSH3BP1	E3B1, ABI-1	10006	Q8IZP0
ABI1P1	abl interactor 1 pseudogene 1	SSH3BP1P, ABI1P		326268	
ABI2	abl interactor 2		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	10152	Q9NYB9
ABI3	ABI family member 3		NESH, SSH3BP3	51225	Q9P2A4
ABI3BP	ABI family member 3 binding protein		NESHBP, DKFZP586L2024, TARSH	25890	Q7Z7G0
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL	JTK7, c-ABL, p150	25	P00519
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ABLL	ARG	27	P42684
ABLIM1	actin binding LIM protein 1	LIMAB1, ABLIM	abLIM, limatin	3983	O14639
ABLIM2	actin binding LIM protein family member 2		KIAA1808	84448	Q6H8Q1
ABLIM3	actin binding LIM protein family member 3		KIAA0843	22885	O94929
ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase		A3GALNT, A3GALT1	28	P16442
ABR	active BCR-related		MDB	29	Q12979
ABRA	actin binding Rho activating protein		STARS	137735	Q8N0Z2
ABRACL	ABRA C-terminal like	C6orf115	PRO2013, HSPC280, Costars	58527	Q9P1F3
ABT1	activator of basal transcription 1			29777	Q9ULW3
ABT1P1	activator of basal transcription 1 pseudogene 1			100420695	
ABTB1	ankyrin repeat and BTB domain containing 1		BPOZ, EF1ABP, Btb3, BTBD21	80325	Q969K4
ABTB2	ankyrin repeat and BTB domain containing 2		DKFZP586C1619, BTBD22, ABTB2A	25841	Q8N961
ACAA1	acetyl-CoA acyltransferase 1			30	P09110
ACAA2	acetyl-CoA acyltransferase 2		DSAEC	10449	P42765
ACACA	acetyl-CoA carboxylase alpha	ACAC, ACC	ACC1	31	Q13085
ACACB	acetyl-CoA carboxylase beta		HACC275, ACC2, ACCB	32	O00763
ACAD8	acyl-CoA dehydrogenase family member 8			27034	Q9UKU7
ACAD9	acyl-CoA dehydrogenase family member 9		NPD002, MGC14452	28976	Q9H845
ACAD10	acyl-CoA dehydrogenase family member 10		MGC5601	80724	Q6JQN1
ACAD11	acyl-CoA dehydrogenase family member 11		FLJ12592	84129	Q709F0
ACADL	acyl-CoA dehydrogenase, long chain		LCAD, ACAD4	33	P28330
ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain		MCAD, MCADH, ACAD1	34	P11310
ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain		SCAD, ACAD3	35	P16219
ACADSB	acyl-CoA dehydrogenase, short/branched chain		SBCAD, ACAD7	36	P45954
ACADVL	acyl-CoA dehydrogenase, very long chain		VLCAD, LCACD, ACAD6	37	P49748
ACAN	aggrecan	MSK16, CSPG1, AGC1	CSPGCP	176	P16112
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	CENTB1	KIAA0050	9744	Q15027
ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	CENTB2	KIAA0041, CNT-B2	23527	Q15057
ACAP2-IT1	ACAP2 intronic transcript 1				
ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	CENTB5	KIAA1716	116983	Q96P50
ACAT1	acetyl-CoA acetyltransferase 1	ACAT	THIL	38	P24752
ACAT2	acetyl-CoA acetyltransferase 2			39	Q9BWD1
ACBD3	acyl-CoA binding domain containing 3	GOLPH1, GOCAP1	GCP60, PAP7	64746	Q9H3P7
ACBD3-AS1	ACBD3 antisense RNA 1			107985353	
ACBD4	acyl-CoA binding domain containing 4		FLJ13322	79777	Q8NC06
ACBD5	acyl-CoA binding domain containing 5		DKFZp434A2417, KIAA1996	91452	Q5T8D3
ACBD6	acyl-CoA binding domain containing 6		MGC2404	84320	Q9BR61
ACBD7	acyl-CoA binding domain containing 7		FLJ38219, bA455B2.2	414149	Q8N6N7
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)		PHACS, ACS	84680	Q96QU6
ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like			390110	Q4AC99
ACD	ACD, shelterin complex subunit and telomerase recruitment factor		Ptop, Pip1, Tpp1, Tint1	65057	Q96AP0
ACE	angiotensin I converting enzyme	DCP1	ACE1, CD143	1636	P12821
ACE2	angiotensin I converting enzyme 2			59272	Q9BYF1
ACE3P	angiotensin I converting enzyme 3, pseudogene			100129123	
ACER1	alkaline ceramidase 1	ASAH3		125981	Q8TDN7
ACER2	alkaline ceramidase 2	ASAH3L	FLJ41587, ALKCDase2	340485	Q5QJU3
ACER3	alkaline ceramidase 3	PHCA	FLJ11238, APHC	55331	Q9NUN7
ACHE	acetylcholinesterase (Cartwright blood group)	YT		43	P22303
ACIN1	apoptotic chromatin condensation inducer 1	ACINUS	KIAA0670, fSAP152	22985	Q9UKV3
ACKR1	atypical chemokine receptor 1 (Duffy blood group)	FY, DARC	CCBP1, GPD, Dfy, CD234	2532	Q16570
ACKR2	atypical chemokine receptor 2	CMKBR9, CCBP2	CCR10, D6, CCR9	1238	O00590
ACKR3	atypical chemokine receptor 3	CMKOR1, CXCR7	RDC1, GPR159	57007	P25106
ACKR4	atypical chemokine receptor 4	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1	51554	Q9NPB9
ACLS	acrocallosal syndrome			46	
ACLY	ATP citrate lyase		ATPCL, CLATP, ACL	47	P53396
ACMSD	aminocarboxymuconate semialdehyde decarboxylase			130013	Q8TDX5
ACO1	aconitase 1	IREB1	IRP1, IREBP	48	P21399
ACO2	aconitase 2		ACONM	50	Q99798
ACOD1	aconitate decarboxylase 1	IRG1	CAD	730249	A6NK06
ACOT1	acyl-CoA thioesterase 1		ACH2, CTE-1, LACH2	641371	Q86TX2
ACOT2	acyl-CoA thioesterase 2		Mte1, ZAP128	10965	P49753
ACOT4	acyl-CoA thioesterase 4		FLJ31235, PTE-Ib, PTE2B	122970	Q8N9L9
ACOT6	acyl-CoA thioesterase 6	C14orf42		641372	Q3I5F7
ACOT7	acyl-CoA thioesterase 7		BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH	11332	O00154
ACOT8	acyl-CoA thioesterase 8	PTE1	hACTE-III, hTE, PTE-2, NAP1	10005	O14734
ACOT9	acyl-CoA thioesterase 9		CGI-16, MT-ACT48, ACATE2	23597	Q9Y305
ACOT11	acyl-CoA thioesterase 11	THEA	STARD14, BFIT, KIAA0707, BFIT1, THEM1	26027	Q8WXI4
ACOT12	acyl-CoA thioesterase 12		Cach, THEAL, STARD15	134526	Q8WYK0
ACOT13	acyl-CoA thioesterase 13	THEM2	HT012	55856	Q9NPJ3
ACOX1	acyl-CoA oxidase 1		PALMCOX	51	Q15067
ACOX2	acyl-CoA oxidase 2		BRCACOX, BRCOX, THCCox	8309	Q99424
ACOX3	acyl-CoA oxidase 3, pristanoyl			8310	O15254
ACOXL	acyl-CoA oxidase like		FLJ11042	55289	Q9NUZ1
ACOXL-AS1	ACOXL antisense RNA 1			400997	
ACP1	acid phosphatase 1, soluble		HAAP, LMW-PTP, LMWPTP	52	P24666
ACP2	acid phosphatase 2, lysosomal		LAP	53	P11117
ACP5	acid phosphatase 5, tartrate resistant		TRAP, HPAP	54	P13686
ACP6	acid phosphatase 6, lysophosphatidic		LPAP, ACPL1	51205	Q9NPH0
ACP7	acid phosphatase 7, tartrate resistant (putative)		FLJ16165, PAPL1, PAPL	390928	Q6ZNF0
ACPP	acid phosphatase, prostate		ACP3, ACP-3, PAP	55	P15309
ACPT	acid phosphatase, testicular			93650	Q9BZG2
ACR	acrosin			49	P10323
ACRBP	acrosin binding protein		SP32, OY-TES-1, CT23	84519	Q8NEB7
ACRV1	acrosomal vesicle protein 1		SPACA2, SP-10, D11S4365	56	P26436
ACSBG1	acyl-CoA synthetase bubblegum family member 1		BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG	23205	Q96GR2
ACSBG2	acyl-CoA synthetase bubblegum family member 2		BGR, PRTD-NY3, DKFZp434K1635	81616	Q5FVE4
ACSF2	acyl-CoA synthetase family member 2		FLJ20920, ACSMW	80221	Q96CM8
ACSF3	acyl-CoA synthetase family member 3			197322	Q4G176
ACSL1	acyl-CoA synthetase long-chain family member 1	FACL2	LACS2, LACS, ACS1, LACS1, FACL1	2180	P33121
ACSL3	acyl-CoA synthetase long-chain family member 3	FACL3	ACS3, PRO2194	2181	O95573
ACSL4	acyl-CoA synthetase long-chain family member 4	FACL4, MRX63, MRX68	ACS4, LACS4	2182	O60488
ACSL5	acyl-CoA synthetase long-chain family member 5	FACL5	ACS5, ACS2	51703	Q9ULC5
ACSL6	acyl-CoA synthetase long-chain family member 6	FACL6	KIAA0837, ACS2, LACS5, LACS2	23305	Q9UKU0
ACSM1	acyl-CoA synthetase medium-chain family member 1	BUCS1	MACS1	116285	Q08AH1
ACSM2A	acyl-CoA synthetase medium-chain family member 2A	ACSM2	A-923A4.1, MGC150530	123876	Q08AH3
ACSM2B	acyl-CoA synthetase medium-chain family member 2B	ACSM2	HXMA, HYST1046	348158	Q68CK6
ACSM3	acyl-CoA synthetase medium-chain family member 3	SAH	SA	6296	Q53FZ2
ACSM4	acyl-CoA synthetase medium-chain family member 4			341392	P0C7M7
ACSM5	acyl-CoA synthetase medium-chain family member 5		FLJ20581	54988	Q6NUN0
ACSM5P1	acyl-CoA synthetase medium-chain family member 5 pseudogene 1			100421779	
ACSM6	acyl-CoA synthetase medium-chain family member 6	C10orf129	bA310E22.3	142827	Q6P461
ACSS1	acyl-CoA synthetase short-chain family member 1	ACAS2L	dJ568C11.3, AceCS2L, MGC33843	84532	Q9NUB1
ACSS2	acyl-CoA synthetase short-chain family member 2	ACAS2	ACS, ACSA, AceCS, dJ1161H23.1	55902	Q9NR19
ACSS3	acyl-CoA synthetase short-chain family member 3		FLJ21963	79611	Q9H6R3
ACTA1	actin, alpha 1, skeletal muscle	ACTA	NEM3	58	P68133
ACTA2	actin, alpha 2, smooth muscle, aorta		ACTSA	59	P62736
ACTA2-AS1	ACTA2 antisense RNA 1		uc001kfo.1, ZXF1	100132116	
ACTB	actin beta			60	P60709
ACTBL2	actin, beta like 2		DKFZp686D0972	345651	Q562R1
ACTBP1	actin, beta pseudogene 1			643309	
ACTBP2	actin, beta pseudogene 2			62	
ACTBP3	actin, beta pseudogene 3			63	
ACTBP4	actin, beta pseudogene 4			64	
ACTBP6	actin, beta pseudogene 6			66	
ACTBP7	actin, beta pseudogene 7			67	
ACTBP8	actin, beta pseudogene 8		ACTBP2	68	
ACTBP9	actin, beta pseudogene 9			69	
ACTBP10	actin, beta pseudogene 10			446207	
ACTBP11	actin, beta pseudogene 11			644220	
ACTBP12	actin, beta pseudogene 12	ACTGP5		100462767	
ACTBP13	actin, beta pseudogene 13			389120	
ACTBP14	actin, beta pseudogene 14			389976	
ACTC1	actin, alpha, cardiac muscle 1	ACTC	CMD1R	70	P68032
ACTG1	actin gamma 1	ACTG, DFNA20, DFNA26		71	P63261
ACTG1P1	actin gamma 1 pseudogene 1	ACTGP1, ACT1GP1		73	
ACTG1P2	actin gamma 1 pseudogene 2	ACTL2, ACTGP2		74	
ACTG1P3	actin gamma 1 pseudogene 3	ACTGP3		75	
ACTG1P4	actin gamma 1 pseudogene 4	ACTGP4		648740	
ACTG1P6	actin gamma 1 pseudogene 6	ACTGP6		78	
ACTG1P7	actin gamma 1 pseudogene 7	ACTGP7		79	
ACTG1P8	actin gamma 1 pseudogene 8	ACTGP8		80	
ACTG1P9	actin gamma 1 pseudogene 9	ACTGP9		82	
ACTG1P10	actin gamma 1 pseudogene 10	ACTL1, ACTGP10		83	
ACTG1P11	actin gamma 1 pseudogene 11			414754	
ACTG1P12	actin gamma 1 pseudogene 12			100418921	
ACTG1P13	actin gamma 1 pseudogene 13			100418920	
ACTG1P14	actin gamma 1 pseudogene 14			100418910	
ACTG1P15	actin gamma 1 pseudogene 15			100418951	
ACTG1P16	actin gamma 1 pseudogene 16			100418960	
ACTG1P17	actin gamma 1 pseudogene 17			283693	
ACTG1P18	actin gamma 1 pseudogene 18			100418924	
ACTG1P19	actin gamma 1 pseudogene 19			644160	
ACTG1P20	actin gamma 1 pseudogene 20			644961	
ACTG1P21	actin gamma 1 pseudogene 21			100131291	
ACTG1P22	actin gamma 1 pseudogene 22			100131953	
ACTG1P23	actin gamma 1 pseudogene 23			442097	
ACTG1P24	actin gamma 1 pseudogene 24	POTENP		441783	
ACTG2	actin, gamma 2, smooth muscle, enteric	ACTL3, ACTA3	ACTSG	72	P63267
ACTL6A	actin like 6A		Actl6, BAF53A, Arp4, Baf53a, INO80K	86	O96019
ACTL6B	actin like 6B	ACTL6	BAF53B	51412	O94805
ACTL7A	actin like 7A			10881	Q9Y615
ACTL7B	actin like 7B		Tact1	10880	Q9Y614
ACTL8	actin like 8		CT57	81569	Q9H568
ACTL9	actin like 9		MGC33407	284382	Q8TC94
ACTL10	actin like 10	C20orf134		170487	Q5JWF8
ACTN1	actinin alpha 1			87	P12814
ACTN1-AS1	ACTN1 antisense RNA 1	C14orf84		161159	
ACTN2	actinin alpha 2			88	P35609
ACTN3	actinin alpha 3 (gene/pseudogene)			89	Q08043
ACTN4	actinin alpha 4	FSGS1		81	O43707
ACTN4P1	actinin alpha 4 pseudogene 1			344978	
ACTN4P2	actinin alpha 4 pseudogene 2			391026	
ACTP1	actin family pseudogene 1				
ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha		ARP1, Arp1A	10121	P61163
ACTR1B	ARP1 actin-related protein 1 homolog B, centractin beta	CTRN2	Arp1B	10120	P42025
ACTR2	ARP2 actin related protein 2 homolog		ARP2	10097	P61160
ACTR3	ARP3 actin related protein 3 homolog		ARP3	10096	P61158
ACTR3B	ARP3 actin related protein 3 homolog B		ARP11, ARP3beta	57180	Q9P1U1
ACTR3BP1	ACTR3B pseudogene 1			643050	
ACTR3BP2	ACTR3B pseudogene 2		FKSG73	440888	
ACTR3BP3	ACTR3B pseudogene 3			647156	
ACTR3BP4	ACTR3B pseudogene 4			777774	
ACTR3BP5	ACTR3B pseudogene 5			399746	
ACTR3BP6	ACTR3B pseudogene 6			644773	
ACTR3C	ARP3 actin-related protein 3 homolog C		ARP11	653857	Q9C0K3
ACTR3P1	ACTR3 pseudogene 1			100288580	
ACTR3P2	ACTR3 pseudogene 2			100129013	
ACTR3P3	ACTR3 pseudogene 3			100128020	
ACTR5	ARP5 actin-related protein 5 homolog		FLJ12785, Arp5, INO80M	79913	Q9H9F9
ACTR6	ARP6 actin-related protein 6 homolog		ARP6, FLJ13433	64431	Q9GZN1
ACTR6P1	ACTR6 pseudogene 1			100421495	
ACTR8	ARP8 actin-related protein 8 homolog		INO80N	93973	Q9H981
ACTR10	actin-related protein 10 homolog		HARP11, ACTR11, Arp11, Arp10	55860	Q9NZ32
ACTRT1	actin related protein T1		AIP1, KIAA0705, ARIP1, Arp-T1	139741	Q8TDG2
ACTRT2	actin related protein T2		Arp-T2, ARPM2, FLJ25424	140625	Q8TDY3
ACTRT3	actin related protein T3		ARPM1	84517	Q9BYD9
ACVR1	activin A receptor type 1	ACVRLK2	SKR1, ALK2, ACVR1A	90	Q04771
ACVR1B	activin A receptor type 1B	ACVRLK4	ALK4, SKR2, ActRIB	91	P36896
ACVR1C	activin A receptor type 1C		ALK7, ACVRLK7	130399	Q8NER5
